id,Track.Name,Artist.Name,Genre
1,Senorita,Shawn Mendes,canadian pop
2,China,Anuel AA,reggaeton flow
3,boyfriend (with Social House),Ariana Grande,dance pop
4,Beautiful People (feat. Khalid),Ed Sheeran,pop
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop
7,Ransom,Lil Tecca,trap music
8,How Do You Sleep?,Sam Smith,pop
9,Old Town Road - Remix,Lil Nas X,country rap
10,bad guy,Billie Eilish,electropop
11,Callaita,Bad Bunny,reggaeton
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop
13,Someone You Loved,Lewis Capaldi,pop
14,Otro Trago - Remix,Sech,panamanian pop
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop
16,No Guidance (feat. Drake),Chris Brown,dance pop
17,LA CANCION,J Balvin,latin
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap
19,Lalala,Y2K,canadian hip hop
20,Truth Hurts,Lizzo,escape room
21,Piece Of Your Heart,MEDUZA,pop house
22,Panini,Lil Nas X,country rap
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow
24,Soltera - Remix,Lunay,latin
25,bad guy (with Justin Bieber),Billie Eilish,electropop
26,If I Can't Have You,Shawn Mendes,canadian pop
27,Dance Monkey,Tones and I,australian pop
28,It's You,Ali Gatie,canadian hip hop
29,Con Calma,Daddy Yankee,latin
30,QUE PRETENDES,J Balvin,latin
31,Takeaway,The Chainsmokers,edm
32,7 rings,Ariana Grande,dance pop
33,0.958333333333333,Maluma,reggaeton
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop
35,Never Really Over,Katy Perry,dance pop
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room
37,Otro Trago,Sech,panamanian pop
38,Antisocial (with Travis Scott),Ed Sheeran,pop
39,Sucker,Jonas Brothers,boy band
40,"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,dance pop
41,Higher Love,Kygo,edm
42,You Need To Calm Down,Taylor Swift,dance pop
43,Shallow,Lady Gaga,dance pop
44,Talk,Khalid,pop
45,Con Altura,ROSALIA,r&b en espanol
46,One Thing Right,Marshmello,brostep
47,Te Robar,Nicky Jam,latin
48,Happier,Marshmello,brostep
49,Call You Mine,The Chainsmokers,edm
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop
